filepath,line_number,line_id,original_text,translated_text
sharedassets0\Chazokov.yarn.txt,26,f671f6,Mae: Hey Mr. Chazokov!,Mae: Merhaba Bay Chazokov!
sharedassets0\Chazokov.yarn.txt,27,595f46,Chazokov: Hello Mae! My best worst student!,Chazokov: Merhaba Mae! En kötü öğrencilerimin en iyisi!
sharedassets0\Chazokov.yarn.txt,28,77eefa,Mae: ha ha. yeah.,Mae: ha ha. evet.
sharedassets0\Chazokov.yarn.txt,29,e7d705,Mae: Liked the constellations. Hated school.,Mae: Yıldızları severdim. Ama okuldan nefret ederdim.
sharedassets0\Chazokov.yarn.txt,30,c08df7,"Chazokov: Hey, don’t knock school. School is vital for your future!","Chazokov: Hey, okulu boşlama. Geleceğin için önemli bir aşamadır!"
sharedassets0\Chazokov.yarn.txt,31,c18ef8,Chazokov: What are you doing back in Possum Springs?,Chazokov: Peki sen geri Possum Springs'te ne yapıyorsun bakalım?
sharedassets0\Chazokov.yarn.txt,32,0a5788,Mae: I dropped out of school.,Mae: Okulu bıraktım.
sharedassets0\Chazokov.yarn.txt,33,d14d8c,Chazokov: Oh.,Chazokov: Ha.
sharedassets0\Chazokov.yarn.txt,34,1af31a,"Chazokov: Well, if you’re still interested in constellations","Chazokov: Eh, eğer hala yıldızlarla ilgileniyorsan"
sharedassets0\Chazokov.yarn.txt,35,807544,Chazokov: come by my roof down the hill later this week.,Chazokov: haftanın ilerleyen günlerinde çatıma uğra.
sharedassets0\Chazokov.yarn.txt,36,ec8640,Chazokov: Should have my new telescope set up by then.,Chazokov: O zamana teleskobumu kurmuş olurum.
sharedassets0\Chazokov.yarn.txt,37,aa4ffd,Mae: Sure thing!,Mae: Tamamdır!
sharedassets0\Chazokov.yarn.txt,44,343f77,Chazokov: {emote=stars},Chazokov: {emote=stars}
sharedassets0\Chazokov.yarn.txt,69,4f07ae,Mae: <o>,Mae: <o>
sharedassets0\Chazokov.yarn.txt,70,8fc4e0,Mae: Hey Mr. Chazokov,Mae: Merhaba Bay Chazokov
sharedassets0\Chazokov.yarn.txt,71,847e4c,Chazokov: Did you jump down from the next door roof?,Chazokov: Karşı evin çatısından mı atladın sen?
sharedassets0\Chazokov.yarn.txt,72,f9214d,"Varney: {medianLocator} I'm going to call the cops next time, Mae!","Varney: {medianLocator} Bir sonrakinde polisi çağıracağım, Mae!"
sharedassets0\Chazokov.yarn.txt,73,66e2b3,Mae: Whatevs.,Mae: Her neyse.
sharedassets0\Chazokov.yarn.txt,74,585894,Varney: {medianLocator} What?,Varney: {medianLocator} Ne?
sharedassets0\Chazokov.yarn.txt,75,957ed3,"Chazokov: I am like you, Mae. I am up here where a bear does not belong.","Chazokov: Ben de senin gibiyim, Mae. Bir ayının ait olmadığı bir yerde duruyorum."
sharedassets0\Chazokov.yarn.txt,76,1ad01c,Mae: Are you using a telescope to... uh...,Mae: Sen şu teleskobu... şey...
sharedassets0\Chazokov.yarn.txt,77,4b1a99,Mae: stare at the sun?,Mae: güneşe bakmak için mi kullanıyorsun?
sharedassets0\Chazokov.yarn.txt,78,c93eda,Chazokov: No no no!,Chazokov: Hayır hayır hayır!
sharedassets0\Chazokov.yarn.txt,79,02807b,"Chazokov: I am calibrating for tonight, for something [color=dddddd][wave]amazing[/all]!","Chazokov: Bugün için kalibrasyon yapıyorum, [color=dddddd][wave]muhteşem[/all] bir şey için!"
sharedassets0\Chazokov.yarn.txt,80,f993bc,Mae: _o_,Mae: _o_
sharedassets0\Chazokov.yarn.txt,88,50bb4b,Mae: <o>,Mae: <o>
sharedassets0\Chazokov.yarn.txt,89,cfb403,Mae: So what is this amazing thing?,"Mae: Ee, bu muhteşem şey nedir?"
sharedassets0\Chazokov.yarn.txt,90,9561da,Chazokov: Castys will appear in the western sky!,Chazokov: Castys batıda belirecek!
sharedassets0\Chazokov.yarn.txt,91,2bc378,Mae: Who's Castys?,Mae: Castys kim?
sharedassets0\Chazokov.yarn.txt,92,e134ed,Mae: What's Castys?,Mae: Castys ne?
sharedassets0\Chazokov.yarn.txt,93,b7367f,Chazokov: Castys is a dusk star- a faint and wandering celestial object.,Chazokov: Castys bir alacakaranlık yıldızıdır- soluk ve gezgin bir gök cismi.
sharedassets0\Chazokov.yarn.txt,94,551fd7,Chazokov: The star tells the story of woman who built a tower to heaven,Chazokov: Bu yıldız cennete kadar bir kule inşaa eden kadının hikayesini anlatır
sharedassets0\Chazokov.yarn.txt,95,23256e,Chazokov: And for this the gods sunk her deep into the sea.,Chazokov: Ve sonrasında tanrıların o kuleyi denizin dibine batırmasını.
sharedassets0\Chazokov.yarn.txt,96,ed496c,Mae: Wow. Jerks.,Mae: Vay şerrolar.
sharedassets0\Chazokov.yarn.txt,97,460ac3,"Chazokov: But even in the depths, she refused to die.",Chazokov: Ama suyun derinliklerinde bile kadın ölümü reddetti.
sharedassets0\Chazokov.yarn.txt,98,329208,Mae: :),Mae: :)
sharedassets0\Chazokov.yarn.txt,99,521d6c,Mae: [size=1.2][shake=.01]DAMN STRAIGHT.[/shake][/size],Mae: [size=1.2][shake=.01]AYNEN ÖYLE KIZIM.[/shake][/size]
sharedassets0\Chazokov.yarn.txt,100,829414,Mae: :| _o_,Mae: :| _o_
sharedassets0\Chazokov.yarn.txt,109,83c8b2,Chazokov: What do you think the story means?,Chazokov: Sence bu hikayenin anlamı nedir?
sharedassets0\Chazokov.yarn.txt,111,e0b75c,[[It means do awesome stuff and never die.|refuse]],[[Güzel şeyler yapıp asla ölmemeyi anlatıyor.|refuse]]
sharedassets0\Chazokov.yarn.txt,112,3e7c6c,"[[It means screw the gods, they are total jerks.|gods]]",[[Tanrıların bokluğunu ve onları takmamamız gerektiğini anlatıyor.|gods]]
sharedassets0\Chazokov.yarn.txt,119,fa0ab3,Chazokov: The gods are only stand-ins for things we cannot easily control.,Chazokov: Tanrılar sadece kolay kontrol edemeyeceğimiz şeyleri temsil ediyor.
sharedassets0\Chazokov.yarn.txt,120,2a2122,"Chazokov: We might just say floods, or cancer, or what have you.","Chazokov: Sel, kanser veya başka herhangi bir şey de olabilirdi."
sharedassets0\Chazokov.yarn.txt,121,8a508e,"Mae: Well, all of those things are jerks too. =_=","Mae: Eh, tüm bu saydıkların da bok gibi. =_="
sharedassets0\Chazokov.yarn.txt,122,b91f62,Chazokov: You'll have no argument from me.,Chazokov: Buna karşı çıkmam.
sharedassets0\Chazokov.yarn.txt,123,a76034,Chazokov: But we can't control the stars either,Chazokov: Ama yıldızları da kontrol edemeyiz
sharedassets0\Chazokov.yarn.txt,124,89975,Chazokov: and they are bigger and brighter than we are.,Chazokov: ve onlar bizden daha parlak ve daha büyüktür.
sharedassets0\Chazokov.yarn.txt,125,39cf3d,Mae: I might come back and check out your telescope sometime. o_o,Mae: Bir ara gelip teleskobuna bakabilirim. o_o
sharedassets0\Chazokov.yarn.txt,126,a55d77,Chazokov: My roof is your roof!,Chazokov: Benim çatım senin çatındır!
sharedassets0\Chazokov.yarn.txt,135,c7233e,Chazokov: Ho ho ho!,Chazokov: Ho ho ho!
sharedassets0\Chazokov.yarn.txt,136,6b69a3,Chazokov: If only it were that easy.,Chazokov: Keşke böyle kolay olsaydı.
sharedassets0\Chazokov.yarn.txt,137,8a0ce6,Chazokov: Think of Mr. Applebaum.,Chazokov: Bay Applebaum'u düşün.
sharedassets0\Chazokov.yarn.txt,138,972fe0,Mae: The statue guy?,Mae: Heykel adam mı?
sharedassets0\Chazokov.yarn.txt,139,a93fec,"Chazokov: His statue stands, but he and his mine are gone.",Chazokov: Heykeli duruyor ama o ve madeni gitti.
